,artist,title,review_link,album_track,genre,artwork,preview,score,author
0,The Microphones,Microphones in 2020,https://pitchfork.com//reviews/albums/the-microphones-microphones-in-2020/,Album,"['Experimental', 'Rock']",https://media.pitchfork.com/photos/5f284eb719fdf81aa4467942/1:1/w_320/Microphones%20In%202020_The%20Microphones.jpg,"Phil Elverum resurrects his beloved Microphones alias for a 45-minute song about art-making, self-mythologizing, and the endless search for meaning. ",8.5,Quinn Moreland
1,Nazar,“Bunker” [ft. Shannen SP],https://pitchfork.com//reviews/tracks/nazar-bunker-ft-shannen-sp/,Track,[],https://media.pitchfork.com/photos/5f08b15526e46edd30202daf/1:1/w_320/bunker.jpg,"For the Manchester-based Angolan electronic artist Nazar, the injustice and repression that marred his home country’s past became an inspiration for his present music On his debut album, Guerrilla, the 26-year-old producer weaves his family’s fraught history during the Angolan civil war—with a particular focus on the experiences of his father, the politician Alcides Sakala Simões—into mercurial music that digs deep into personal and political conflict",N/A,Eric Torres
2,that dog.,Totally Crushed Out! / Retreat From the Sun,https://pitchfork.com//reviews/albums/that-dog-totally-crushed-out-retreat-from-the-sun/,Album,['Rock'],https://media.pitchfork.com/photos/5f1efd858fd5732600c342de/1:1/w_320/totally%20crushed%20out_that%20dog.jpg,"Reissues of the L.A. band’s mid-’90s albums capture how they brought girl-group yearning, three-part harmonies, and virtuoso violin lines to the era of Sassy mag and 120 Minutes.",8.3,Jenn Pelly
3,Dehd,Flower of Devotion,/reviews/albums/dehd-flower-of-devotion/,Album,['Rock'],https://media.pitchfork.com/photos/5f0e1f47763b970f2863141a/1:1/w_160/flower%20of%20devotion_dehd.jpg,"Recording in a studio, the Chicago DIY trio sound newly airy and lush, but no less direct and sincere. Their confidence in their concision is the best part.",8.3,Steven Arroyo
4,Julianna Barwick,Healing Is a Miracle,/reviews/albums/julianna-barwick-healing-is-a-miracle/,Album,['Electronic'],https://media.pitchfork.com/photos/5f073c85ca5f171c3b7713c5/1:1/w_160/Healing%20Is%20A%20Miracle_Julianna%20Barwick.jpg,The vocalist and producer Juliana Barwick’s revelatory new album asks us to picture healing at a moment when the task feels impossible. ,8.3,Will Gottsegen
5,Special Interest,The Passion Of,/reviews/albums/special-interest-the-passion-of/,Album,['Rock'],https://media.pitchfork.com/photos/5efb778bdc55f46b46323ec7/1:1/w_160/The%20Passion%20Of_Special%20Interest.jpg,"Mixing art-punk, industrial, and techno, the outstanding New Orleans four-piece emerge with a blistering vision of punk as possibility.",8.4,Jenn Pelly
6,Jessie Ware,What’s Your Pleasure?,/reviews/albums/jessie-ware-whats-your-pleasure/,Album,['Pop/R&B'],https://media.pitchfork.com/photos/5ef619d08813ffa92664e83d/1:1/w_160/What%E2%80%99s%20Your%20Pleasure?_Jessie%20Ware.jpg,"On her disco-inspired new album, Ware sounds bolder, looser — and frankly, more fun — than she has in a near-decade.",8.3,Owen Myers 
7,Haim,Women in Music Pt. III,/reviews/albums/haim-women-in-music-pt-iii/,Album,['Rock'],https://media.pitchfork.com/photos/5ef251988813ffa92664e509/1:1/w_160/Women%20in%20Music%20Pt.%20III_Haim.jpg,"The third album from the trio is far and away their best. Intimate, multidimensional, and wide-ranging, the songwriting shines with personality and a great curiosity for melody and style.  ",8.6,Aimee Cliff
8,Phoebe Bridgers,Punisher,/reviews/albums/phoebe-bridgers-punisher/,Album,['Folk/Country'],https://media.pitchfork.com/photos/5ee923f47bb7acb328d5683d/1:1/w_160/Punisher%20_Phoebe%20Bridgers.jpg,"On her marvelous second album, Phoebe Bridgers defines her songwriting: candid, multi-dimensional, slyly psychedelic, and full of heart. Her music has become a world unto itself.",8.7,Sam Sodomsky
9,Moor Motherbilly woods,“Furies”,/reviews/tracks/moor-mother-billy-woods-furies/,Track,"['Experimental', 'Rap']",https://media.pitchfork.com/photos/5f077ec385fda4163780013f/1:1/w_160/Moor-Mother-billy-woods-Furies.jpg,"On “Furies,” Moor Mother and billy woods work in sync After teaming up earlier this year for the Armand Hammer posse cut “Ramesses II,” they forge a more meaningful connection this time, as a pair of radicals unraveling Western myths",N/A,Sheldon Pearce
